 Iter  Func-count            Fval   Feasibility   Step Length       Norm of   First-order  
                                                                       step    optimality
  281       34453    3.870080e+00     6.661e-16     1.000e+00     1.933e-01     1.362e+01  
  282       34574    3.869992e+00     1.096e-15     1.000e+00     4.163e-01     8.723e+00  
  283       34695    3.869789e+00     1.110e-15     1.000e+00     2.210e-01     7.017e+00  
  284       34817    3.869770e+00     8.327e-16     7.000e-01     1.031e-01     1.192e+01  
  285       34938    3.869632e+00     8.882e-16     1.000e+00     4.701e-02     4.724e+00  
  286       35059    3.869487e+00     8.882e-16     1.000e+00     2.572e-01     3.487e+00  
  287       35180    3.869381e+00     8.882e-16     1.000e+00     2.694e-01     6.826e+00  
  288       35301    3.869296e+00     8.882e-16     1.000e+00     8.982e-02     3.933e+00  
  289       35422    3.869214e+00     9.021e-16     1.000e+00     1.628e-01     4.396e+00  
  290       35543    3.869144e+00     1.110e-15     1.000e+00     1.334e-01     4.849e+00  
  291       35664    3.869060e+00     9.021e-16     1.000e+00     1.169e-01     4.399e+00  
  292       35785    3.868959e+00     1.110e-15     1.000e+00     5.161e-01     9.981e+00  
  293       35906    3.868756e+00     1.332e-15     1.000e+00     5.596e-02     1.537e+01  
  294       36027    3.868502e+00     1.110e-15     1.000e+00     2.158e-01     8.264e+00  
  295       36148    3.868333e+00     8.743e-16     1.000e+00     7.687e-01     3.765e+01  
  296       36269    3.868028e+00     8.882e-16     1.000e+00     3.334e-01     8.821e+00  
  297       36390    3.867852e+00     9.159e-16     1.000e+00     1.446e-01     5.182e+00  
  298       36511    3.867781e+00     8.743e-16     1.000e+00     6.101e-01     4.113e+01  
  299       36632    3.867494e+00     8.882e-16     1.000e+00     3.011e-01     1.503e+01  
 Iter  Func-count            Fval   Feasibility   Step Length       Norm of   First-order  
                                                                       step    optimality
  300       36753    3.867327e+00     8.882e-16     1.000e+00     1.182e-01     3.882e+00  
  301       36874    3.867044e+00     6.800e-16     1.000e+00     3.770e-01     1.388e+01  
  302       36995    3.866959e+00     1.096e-15     1.000e+00     8.647e-02     5.059e+00  
  303       37116    3.866891e+00     1.110e-15     1.000e+00     6.970e-02     2.987e+00  
  304       37237    3.866841e+00     1.318e-15     1.000e+00     5.334e-02     4.146e+00  
  305       37358    3.866757e+00     1.110e-15     1.000e+00     1.712e-01     6.666e+00  
  306       37479    3.866586e+00     1.110e-15     1.000e+00     5.135e-02     1.188e+01  
  307       37600    3.866310e+00     8.882e-16     1.000e+00     8.232e-02     1.177e+01  
